"activity" "description" "subject"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "4"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "9"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
2 "walkingupstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
3 "walkingdownstairs" "10"
